country,winter,season,metric,value,anom,anom_dt,n_sites,group,oni_djf
DK,1951,NDJFM,ice_days,10.182,0.444,-9.619,2,lanina,-0.660
DK,1951,NDJFM,precip,403.600,94.670,116.781,2,lanina,-0.660
DK,1951,NDJFM,precip_days,70.000,9.167,15.636,2,lanina,-0.660
DK,1951,NDJFM,thaw_days,138.791,-4.183,7.982,2,lanina,-0.660
DK,1951,NDJFM,tmax_mean,3.325,-2.297,-0.655,2,lanina,-0.660
DK,1951,NDJFM,tmean,1.361,,-0.308,2,lanina,-0.660
DK,1951,NDJFM,tmin_mean,-0.658,-1.671,0.057,2,lanina,-0.660
DK,1952,DJF,frost_days,37.550,-1.252,-17.758,2,elnino,0.520
DK,1952,DJF,ice_days,6.729,-2.346,-11.120,2,elnino,0.520
DK,1952,DJF,precip,168.350,2.647,-1.556,2,elnino,0.520
DK,1952,DJF,precip_days,40.500,7.700,6.983,2,elnino,0.520
DK,1952,DJF,thaw_days,83.748,2.567,11.841,2,elnino,0.520
DK,1952,DJF,tmax_mean,4.564,0.431,1.905,2,elnino,0.520
DK,1952,DJF,tmean,2.417,,1.843,2,elnino,0.520
DK,1952,DJF,tmin_mean,0.434,0.255,2.240,2,elnino,0.520
DK,1952,JFM,frost_days,60.174,21.101,1.405,2,elnino,0.520
DK,1952,JFM,ice_days,9.135,3.040,-7.553,2,elnino,0.520
DK,1952,JFM,precip,147.700,-2.570,6.959,2,elnino,0.520
DK,1952,JFM,precip_days,33.000,2.033,4.845,2,elnino,0.520
DK,1952,JFM,thaw_days,81.354,-2.901,8.314,2,elnino,0.520
DK,1952,JFM,tmax_mean,3.511,-1.000,0.707,2,elnino,0.520
DK,1952,JFM,tmean,1.081,-1.309,0.715,2,elnino,0.520
DK,1952,JFM,tmin_mean,-1.282,-1.371,0.758,2,elnino,0.520
DK,1952,NDJFM,frost_days,62.660,8.248,-15.654,2,elnino,0.520
DK,1952,NDJFM,ice_days,9.287,-0.237,-10.361,2,elnino,0.520
DK,1952,NDJFM,precip,323.250,51.070,36.159,2,elnino,0.520
DK,1952,NDJFM,precip_days,66.500,10.167,12.098,2,elnino,0.520
DK,1952,NDJFM,thaw_days,142.193,0.511,11.238,2,elnino,0.520
DK,1952,NDJFM,tmax_mean,5.332,0.171,1.327,2,elnino,0.520
DK,1952,NDJFM,tmean,3.046,,1.352,2,elnino,0.520
DK,1952,NDJFM,tmin_mean,0.882,-0.131,1.566,2,elnino,0.520
DK,1953,DJF,frost_days,52.025,13.221,-2.979,2,neutral,0.250
DK,1953,DJF,ice_days,13.527,1.689,-4.190,2,neutral,0.250
DK,1953,DJF,precip,136.850,-67.853,-33.158,2,neutral,0.250
DK,1953,DJF,precip_days,32.500,-6.300,-1.010,2,neutral,0.250
DK,1953,DJF,thaw_days,76.474,-1.422,4.441,2,neutral,0.250
DK,1953,DJF,tmax_mean,2.843,-1.328,0.154,2,neutral,0.250
DK,1953,DJF,tmean,0.721,,0.115,2,neutral,0.250
DK,1953,DJF,tmin_mean,-1.504,-1.684,0.267,2,neutral,0.250
